Time Step,Time,water_output
0,1981-01-01 00:00:00,0.000000000
1,1981-01-02 00:00:00,0.000000000
2,1981-01-03 00:00:00,0.000000000
3,1981-01-04 00:00:00,0.000000000
4,1981-01-05 00:00:00,0.000000000
5,1981-01-06 00:00:00,0.000000000
6,1981-01-07 00:00:00,0.000000000
7,1981-01-08 00:00:00,0.000000000
8,1981-01-09 00:00:00,0.000000000
9,1981-01-10 00:00:00,0.000000000
10,1981-01-11 00:00:00,0.000000000
11,1981-01-12 00:00:00,0.000000000
12,1981-01-13 00:00:00,0.000000000
13,1981-01-14 00:00:00,0.000000000
14,1981-01-15 00:00:00,0.000000000
15,1981-01-16 00:00:00,0.000000000
16,1981-01-17 00:00:00,0.000000000
17,1981-01-18 00:00:00,0.000000000
18,1981-01-19 00:00:00,0.000000000
19,1981-01-20 00:00:00,0.000000000
20,1981-01-21 00:00:00,0.000000000
21,1981-01-22 00:00:00,0.000000000
22,1981-01-23 00:00:00,0.000000000
23,1981-01-24 00:00:00,0.000000000
24,1981-01-25 00:00:00,0.000000000
25,1981-01-26 00:00:00,0.000000000
26,1981-01-27 00:00:00,0.000000000
27,1981-01-28 00:00:00,0.000000000
28,1981-01-29 00:00:00,0.000000000
29,1981-01-30 00:00:00,0.000000000
30,1981-01-31 00:00:00,0.000000000
31,1981-02-01 00:00:00,0.000000000
32,1981-02-02 00:00:00,0.000000000
33,1981-02-03 00:00:00,0.000000000
34,1981-02-04 00:00:00,0.000000000
35,1981-02-05 00:00:00,0.000000000
36,1981-02-06 00:00:00,0.000000000
37,1981-02-07 00:00:00,0.000000000
38,1981-02-08 00:00:00,0.000000000
39,1981-02-09 00:00:00,0.000000000
40,1981-02-10 00:00:00,0.000000000
41,1981-02-11 00:00:00,0.000000000
42,1981-02-12 00:00:00,0.000000000
43,1981-02-13 00:00:00,0.000000000
44,1981-02-14 00:00:00,0.000000000
45,1981-02-15 00:00:00,0.000000000
46,1981-02-16 00:00:00,0.000000000
47,1981-02-17 00:00:00,0.000000000
48,1981-02-18 00:00:00,0.000000000
49,1981-02-19 00:00:00,0.035439328
50,1981-02-20 00:00:00,1.856032453
51,1981-02-21 00:00:00,1.731662685
52,1981-02-22 00:00:00,1.614160654
53,1981-02-23 00:00:00,1.503177652
54,1981-02-24 00:00:00,1.466583422
55,1981-02-25 00:00:00,1.471042354
56,1981-02-26 00:00:00,2.555855416
57,1981-02-27 00:00:00,2.406894932
58,1981-02-28 00:00:00,2.265695650
59,1981-03-01 00:00:00,2.131875230
60,1981-03-02 00:00:00,2.005069580
61,1981-03-03 00:00:00,1.884931997
62,1981-03-04 00:00:00,1.771132354
63,1981-03-05 00:00:00,1.663356325
64,1981-03-06 00:00:00,1.561304643
65,1981-03-07 00:00:00,1.464692392
66,1981-03-08 00:00:00,1.373248336
67,1981-03-09 00:00:00,1.294765284
68,1981-03-10 00:00:00,1.254718555
69,1981-03-11 00:00:00,1.215910459
70,1981-03-12 00:00:00,1.178302687
71,1981-03-13 00:00:00,1.141858113
72,1981-03-14 00:00:00,1.106540760
73,1981-03-15 00:00:00,1.072315762
74,1981-03-16 00:00:00,1.055501375
75,1981-03-17 00:00:00,1.022855012
76,1981-03-18 00:00:00,0.991218391
77,1981-03-19 00:00:00,0.960560282
78,1981-03-20 00:00:00,0.930850420
79,1981-03-21 00:00:00,0.902059476
80,1981-03-22 00:00:00,0.874159028
81,1981-03-23 00:00:00,0.847121532
82,1981-03-24 00:00:00,0.977985974
83,1981-03-25 00:00:00,0.927445743
84,1981-03-26 00:00:00,1.142258813
85,1981-03-27 00:00:00,1.062352240
86,1981-03-28 00:00:00,1.026603294
87,1981-03-29 00:00:00,0.994850740
88,1981-03-30 00:00:00,0.964080284
89,1981-03-31 00:00:00,0.934261549
90,1981-04-01 00:00:00,0.905365099
91,1981-04-02 00:00:00,1.138760683
92,1981-04-03 00:00:00,1.058708404
93,1981-04-04 00:00:00,1.017698114
94,1981-04-05 00:00:00,0.986220995
95,1981-04-06 00:00:00,1.003309015
96,1981-04-07 00:00:00,0.972276947
97,1981-04-08 00:00:00,0.942204692
98,1981-04-09 00:00:00,0.913062563
99,1981-04-10 00:00:00,1.008863687
100,1981-04-11 00:00:00,1.555260973
101,1981-04-12 00:00:00,1.640444063
102,1981-04-13 00:00:00,1.658423409
103,1981-04-14 00:00:00,1.643005130
104,1981-04-15 00:00:00,1.811498605
105,1981-04-16 00:00:00,1.962860743
106,1981-04-17 00:00:00,2.175722539
107,1981-04-18 00:00:00,2.416000978
108,1981-04-19 00:00:00,3.408822719
109,1981-04-20 00:00:00,4.590352055
110,1981-04-21 00:00:00,5.551769031
111,1981-04-22 00:00:00,4.691954216
112,1981-04-23 00:00:00,4.550959488
113,1981-04-24 00:00:00,4.644526374
114,1981-04-25 00:00:00,4.895614337
115,1981-04-26 00:00:00,5.626097898
116,1981-04-27 00:00:00,6.352526811
117,1981-04-28 00:00:00,6.176007468
118,1981-04-29 00:00:00,5.981917093
119,1981-04-30 00:00:00,6.422404214
120,1981-05-01 00:00:00,7.048162330
121,1981-05-02 00:00:00,7.792623009
122,1981-05-03 00:00:00,7.633633116
123,1981-05-04 00:00:00,6.616311923
124,1981-05-05 00:00:00,8.953242108
125,1981-05-06 00:00:00,10.097998083
126,1981-05-07 00:00:00,17.044183474
127,1981-05-08 00:00:00,14.428222807
128,1981-05-09 00:00:00,12.201434388
129,1981-05-10 00:00:00,10.695854195
130,1981-05-11 00:00:00,15.013376556
131,1981-05-12 00:00:00,14.384084944
132,1981-05-13 00:00:00,12.175323106
133,1981-05-14 00:00:00,10.701105229
134,1981-05-15 00:00:00,11.875994334
135,1981-05-16 00:00:00,14.543467980
136,1981-05-17 00:00:00,17.409346278
137,1981-05-18 00:00:00,15.207477925
138,1981-05-19 00:00:00,13.782429594
139,1981-05-20 00:00:00,14.708864274
140,1981-05-21 00:00:00,20.775944035
141,1981-05-22 00:00:00,43.653875786
142,1981-05-23 00:00:00,39.995658027
143,1981-05-24 00:00:00,35.761096765
144,1981-05-25 00:00:00,31.776050228
145,1981-05-26 00:00:00,36.088180655
146,1981-05-27 00:00:00,37.116719130
147,1981-05-28 00:00:00,35.018673086
148,1981-05-29 00:00:00,31.815677544
149,1981-05-30 00:00:00,28.642364294
150,1981-05-31 00:00:00,27.875121466
151,1981-06-01 00:00:00,24.874499538
152,1981-06-02 00:00:00,22.581209008
153,1981-06-03 00:00:00,30.980659195
154,1981-06-04 00:00:00,27.717939439
155,1981-06-05 00:00:00,24.991119432
156,1981-06-06 00:00:00,23.241327332
157,1981-06-07 00:00:00,22.135895855
158,1981-06-08 00:00:00,21.013665531
159,1981-06-09 00:00:00,21.415501530
160,1981-06-10 00:00:00,19.735204845
161,1981-06-11 00:00:00,18.446849708
162,1981-06-12 00:00:00,17.626578103
163,1981-06-13 00:00:00,22.272412427
164,1981-06-14 00:00:00,20.444491870
165,1981-06-15 00:00:00,17.396829606
166,1981-06-16 00:00:00,15.406819709
167,1981-06-17 00:00:00,14.691415806
168,1981-06-18 00:00:00,13.732916852
169,1981-06-19 00:00:00,13.244582236
170,1981-06-20 00:00:00,13.206266544
171,1981-06-21 00:00:00,13.236068456
172,1981-06-22 00:00:00,13.197049613
173,1981-06-23 00:00:00,13.596978174
174,1981-06-24 00:00:00,12.737093589
175,1981-06-25 00:00:00,10.835100460
176,1981-06-26 00:00:00,9.214490206
177,1981-06-27 00:00:00,7.833715330
178,1981-06-28 00:00:00,6.657360531
179,1981-06-29 00:00:00,5.870861628
180,1981-06-30 00:00:00,5.603686320
181,1981-07-01 00:00:00,5.744168766
182,1981-07-02 00:00:00,5.574897312
183,1981-07-03 00:00:00,5.744858881
184,1981-07-04 00:00:00,5.971559143
185,1981-07-05 00:00:00,5.700177302
186,1981-07-06 00:00:00,5.602791199
187,1981-07-07 00:00:00,5.348166601
188,1981-07-08 00:00:00,5.340110472
189,1981-07-09 00:00:00,5.097449705
190,1981-07-10 00:00:00,4.865790415
191,1981-07-11 00:00:00,4.694314937
192,1981-07-12 00:00:00,4.556746945
193,1981-07-13 00:00:00,4.349633243
194,1981-07-14 00:00:00,4.151910956
195,1981-07-15 00:00:00,3.963154924
196,1981-07-16 00:00:00,3.783370116
197,1981-07-17 00:00:00,3.629681211
198,1981-07-18 00:00:00,3.479800826
199,1981-07-19 00:00:00,3.321537325
200,1981-07-20 00:00:00,3.170453210
201,1981-07-21 00:00:00,3.026223369
202,1981-07-22 00:00:00,2.896041139
203,1981-07-23 00:00:00,2.806467393
204,1981-07-24 00:00:00,2.719664138
205,1981-07-25 00:00:00,2.646510023
206,1981-07-26 00:00:00,3.066472586
207,1981-07-27 00:00:00,3.063119536
208,1981-07-28 00:00:00,2.920331335
209,1981-07-29 00:00:00,2.784127142
210,1981-07-30 00:00:00,2.667559287
211,1981-07-31 00:00:00,2.585052421
212,1981-08-01 00:00:00,2.505097470
213,1981-08-02 00:00:00,2.427615503
214,1981-08-03 00:00:00,2.352530031
215,1981-08-04 00:00:00,2.279766933
216,1981-08-05 00:00:00,2.209254376
217,1981-08-06 00:00:00,2.140922754
218,1981-08-07 00:00:00,2.074704609
219,1981-08-08 00:00:00,2.062526941
220,1981-08-09 00:00:00,1.998733557
221,1981-08-10 00:00:00,2.061623042
222,1981-08-11 00:00:00,2.146716380
223,1981-08-12 00:00:00,2.052802886
224,1981-08-13 00:00:00,1.989310264
225,1981-08-14 00:00:00,2.244597481
226,1981-08-15 00:00:00,2.129555886
227,1981-08-16 00:00:00,2.038786324
228,1981-08-17 00:00:00,1.975727231
229,1981-08-18 00:00:00,1.971560279
230,1981-08-19 00:00:00,1.910580469
231,1981-08-20 00:00:00,1.852368615
232,1981-08-21 00:00:00,1.953264822
233,1981-08-22 00:00:00,1.872206152
234,1981-08-23 00:00:00,1.814299337
235,1981-08-24 00:00:00,1.758941837
236,1981-08-25 00:00:00,1.704538256
237,1981-08-26 00:00:00,1.652436451
238,1981-08-27 00:00:00,1.601327052
239,1981-08-28 00:00:00,1.613627213
240,1981-08-29 00:00:00,1.563718173
241,1981-08-30 00:00:00,1.515352805
242,1981-08-31 00:00:00,1.468483365
243,1981-09-01 00:00:00,1.496171795
244,1981-09-02 00:00:00,1.449895618
245,1981-09-03 00:00:00,1.405050750
246,1981-09-04 00:00:00,1.361592922
247,1981-09-05 00:00:00,1.347529768
248,1981-09-06 00:00:00,1.624227859
249,1981-09-07 00:00:00,1.530996059
250,1981-09-08 00:00:00,1.457702621
251,1981-09-09 00:00:00,1.962494122
252,1981-09-10 00:00:00,1.856739001
253,1981-09-11 00:00:00,1.859867086
254,1981-09-12 00:00:00,1.756159041
255,1981-09-13 00:00:00,1.668177709
256,1981-09-14 00:00:00,1.616581437
257,1981-09-15 00:00:00,1.566581024
258,1981-09-16 00:00:00,1.518127109
259,1981-09-17 00:00:00,1.471171860
260,1981-09-18 00:00:00,1.425668924
261,1981-09-19 00:00:00,1.381573382
262,1981-09-20 00:00:00,1.338841702
263,1981-09-21 00:00:00,1.297431701
264,1981-09-22 00:00:00,1.257302500
265,1981-09-23 00:00:00,1.218414483
266,1981-09-24 00:00:00,1.212259392
267,1981-09-25 00:00:00,1.335268376
268,1981-09-26 00:00:00,4.143296776
269,1981-09-27 00:00:00,3.932671288
270,1981-09-28 00:00:00,3.839554585
271,1981-09-29 00:00:00,3.644075840
272,1981-09-30 00:00:00,3.667048061
273,1981-10-01 00:00:00,3.480707503
274,1981-10-02 00:00:00,3.303420150
275,1981-10-03 00:00:00,3.337303715
276,1981-10-04 00:00:00,7.426229545
277,1981-10-05 00:00:00,9.614831791
278,1981-10-06 00:00:00,8.405823325
279,1981-10-07 00:00:00,7.022935218
280,1981-10-08 00:00:00,8.258839731
281,1981-10-09 00:00:00,8.222469691
282,1981-10-10 00:00:00,8.392777795
283,1981-10-11 00:00:00,19.221294534
284,1981-10-12 00:00:00,27.055906222
285,1981-10-13 00:00:00,22.945117332
286,1981-10-14 00:00:00,19.444641252
287,1981-10-15 00:00:00,16.464295849
288,1981-10-16 00:00:00,13.927211464
289,1981-10-17 00:00:00,11.767866165
290,1981-10-18 00:00:00,10.637680457
291,1981-10-19 00:00:00,9.586241498
292,1981-10-20 00:00:00,8.758123779
293,1981-10-21 00:00:00,7.929020868
294,1981-10-22 00:00:00,6.844214863
295,1981-10-23 00:00:00,5.850550131
296,1981-10-24 00:00:00,5.409514537
297,1981-10-25 00:00:00,5.155632422
298,1981-10-26 00:00:00,4.982692009
299,1981-10-27 00:00:00,4.974932276
300,1981-10-28 00:00:00,5.050131636
301,1981-10-29 00:00:00,6.830093752
302,1981-10-30 00:00:00,5.753000009
303,1981-10-31 00:00:00,5.347665273
304,1981-11-01 00:00:00,5.098514964
305,1981-11-02 00:00:00,5.095287290
306,1981-11-03 00:00:00,5.051528695
307,1981-11-04 00:00:00,5.005823310
308,1981-11-05 00:00:00,4.925785832
309,1981-11-06 00:00:00,4.864156637
310,1981-11-07 00:00:00,4.788403311
311,1981-11-08 00:00:00,4.603182279
312,1981-11-09 00:00:00,4.429595625
313,1981-11-10 00:00:00,4.279037092
314,1981-11-11 00:00:00,4.154100690
315,1981-11-12 00:00:00,4.038524998
316,1981-11-13 00:00:00,4.100829255
317,1981-11-14 00:00:00,4.417830460
318,1981-11-15 00:00:00,5.570786837
319,1981-11-16 00:00:00,6.217289896
320,1981-11-17 00:00:00,7.147188837
321,1981-11-18 00:00:00,12.372207606
