time,precip_rate,TMP_2maboveground,PRES_surface
1981-01-01 00:00:00,0,2.41808,0.708394773
1981-01-02 00:00:00,0,0.46728,0.62075702
1981-01-03 00:00:00,0,-1.06208,0.559047978
1981-01-04 00:00:00,0.18214,-0.87969,0.567115167
1981-01-05 00:00:00,4.04806,-2.6675,0.500972044
1981-01-06 00:00:00,1.23661,-4.85836,0.429060141
1981-01-07 00:00:00,0,-2.35742,0.514024485
1981-01-08 00:00:00,0,-2.73119,0.501632
1981-01-09 00:00:00,0,-3.326,0.481903869
1981-01-10 00:00:00,0,-3.2485,0.485676998
1981-01-11 00:00:00,0,-3.37958,0.482307644
1981-01-12 00:00:00,0,-2.52758,0.513681181
1981-01-13 00:00:00,0,-2.53575,0.514711997
1981-01-14 00:00:00,0.07256,-3.37372,0.48626138
1981-01-15 00:00:00,0,-4.48669,0.450229032
1981-01-16 00:00:00,0,-5.469,0.420550965
1981-01-17 00:00:00,0,-5.86508,0.409808619
1981-01-18 00:00:00,0,-3.75733,0.478646391
1981-01-19 00:00:00,0.35483,-2.01678,0.54330812
1981-01-20 00:00:00,0,-0.63667,0.600368047
1981-01-21 00:00:00,0,-1.52797,0.565951931
1981-01-22 00:00:00,0,-0.23117,0.621621842
1981-01-23 00:00:00,0,0.43267,0.653057078
1981-01-24 00:00:00,2.41103,-1.74992,0.562918818
1981-01-25 00:00:00,8.03214,-4.97381,0.448885724
1981-01-26 00:00:00,1.18342,-7.05594,0.386974123
1981-01-27 00:00:00,2.54236,-6.05169,0.418079461
1981-01-28 00:00:00,0.99722,-2.07933,0.558032593
1981-01-29 00:00:00,9.70547,-1.75122,0.573220476
1981-01-30 00:00:00,10.38681,-2.04806,0.563502447
1981-01-31 00:00:00,11.95953,-5.96308,0.427192043
1981-02-01 00:00:00,8.57475,-7.33653,0.387720161
1981-02-02 00:00:00,0.89869,-8.70897,0.351497156
1981-02-03 00:00:00,0,-6.261,0.422941598
1981-02-04 00:00:00,0,-8.8645,0.35020408
1981-02-05 00:00:00,0.00458,-8.63344,0.357747306
1981-02-06 00:00:00,0,-8.61594,0.359670626
1981-02-07 00:00:00,0.31856,-8.16333,0.373538138
1981-02-08 00:00:00,0.49292,-6.37769,0.427926357
1981-02-09 00:00:00,0.40197,-4.09736,0.506946487
1981-02-10 00:00:00,6.46139,-7.2962,0.40329942
1981-02-11 00:00:00,1.23861,-14.46822,0.234325136
1981-02-12 00:00:00,0.58403,-8.07211,0.383957691
1981-02-13 00:00:00,0.40197,-1.76211,0.608495897
1981-02-14 00:00:00,0,0.34553,0.707715597
1981-02-15 00:00:00,0,0.24575,0.705826657
1981-02-16 00:00:00,0,-0.79103,0.659602193
1981-02-17 00:00:00,1.82483,1.40211,0.770726342
1981-02-18 00:00:00,1.63497,0.96536,0.751176559
1981-02-19 00:00:00,0.43467,2.47481,0.836195651
1981-02-20 00:00:00,10.98631,3.49953,0.899879393
1981-02-21 00:00:00,4.19272,-6.79669,0.43829764
1981-02-22 00:00:00,0,-4.26933,0.52893616
1981-02-23 00:00:00,0.8065,-0.30175,0.703027839
1981-02-24 00:00:00,0,3.32089,0.904376906
1981-02-25 00:00:00,0,4.06219,0.954524793
1981-02-26 00:00:00,7.10967,2.47331,0.861340624
1981-02-27 00:00:00,3.95314,-1.34483,0.664887107
1981-02-28 00:00:00,0,-1.49,0.660943963
1981-03-01 00:00:00,1.79747,-0.15481,0.728514615
1981-03-02 00:00:00,0.41242,-0.11178,0.73377642
1981-03-03 00:00:00,0,-0.93408,0.695903657
1981-03-04 00:00:00,0.10583,-1.87511,0.654220845
1981-03-05 00:00:00,0,0.01169,0.74945289
1981-03-06 00:00:00,0,1.25592,0.819915198
1981-03-07 00:00:00,3.14111,-0.61072,0.723768017
1981-03-08 00:00:00,0.438,-0.82531,0.715992589
1981-03-09 00:00:00,0,-0.57983,0.731362962
1981-03-10 00:00:00,1.34581,0.37678,0.78472403
1981-03-11 00:00:00,0,-0.17358,0.758519115
1981-03-12 00:00:00,0,0.72108,0.810188657
1981-03-13 00:00:00,0,0.424,0.79702035
1981-03-14 00:00:00,0,0.41319,0.799671641
1981-03-15 00:00:00,0,1.54433,0.867760059
1981-03-16 00:00:00,0,2.46083,0.927342335
1981-03-17 00:00:00,22.73167,-1.30953,0.718059604
1981-03-18 00:00:00,3.81161,-6.36208,0.502058136
1981-03-19 00:00:00,0.98822,-3.20344,0.633202738
1981-03-20 00:00:00,1.76778,1.562,0.886366353
1981-03-21 00:00:00,21.57247,-1.16628,0.736922472
1981-03-22 00:00:00,0.21639,-2.30436,0.6829414
1981-03-23 00:00:00,1.36975,1.5805,0.898016107
1981-03-24 00:00:00,1.13908,2.55097,0.96303693
1981-03-25 00:00:00,1.66725,1.49806,0.899936933
1981-03-26 00:00:00,1.29675,3.41772,1.028970584
1981-03-27 00:00:00,10.96289,1.25444,0.891894474
1981-03-28 00:00:00,9.78269,-2.04144,0.712054318
1981-03-29 00:00:00,0.82153,0.26542,0.839601344
1981-03-30 00:00:00,10.54356,1.71683,0.931080035
1981-03-31 00:00:00,6.85667,-5.20617,0.574373343
1981-04-01 00:00:00,0,-0.78894,0.789199553
1981-04-02 00:00:00,1.42322,3.66517,1.074232461
1981-04-03 00:00:00,1.52053,-0.71208,0.799335589
1981-04-04 00:00:00,6.27411,-4.19144,0.627225516
1981-04-05 00:00:00,1.12469,-4.21825,0.628306328
1981-04-06 00:00:00,0.42578,1.91158,0.968218509
1981-04-07 00:00:00,0,0.89008,0.906127986
1981-04-08 00:00:00,0,-2.69497,0.708074324
1981-04-09 00:00:00,0,-1.03142,0.798856669
1981-04-10 00:00:00,0,5.34392,1.236564798
1981-04-11 00:00:00,2.68519,5.70731,1.271048635
1981-04-12 00:00:00,0.00406,5.66511,1.271939985
1981-04-13 00:00:00,0,4.32314,1.167637849
1981-04-14 00:00:00,0,3.61758,1.117622195
1981-04-15 00:00:00,0,7.46906,1.44617893
1981-04-16 00:00:00,0,7.25139,1.430686678
1981-04-17 00:00:00,0,8.67814,1.574292436
1981-04-18 00:00:00,0,9.44433,1.659049902
1981-04-19 00:00:00,4.63664,9.64758,1.686274389
1981-04-20 00:00:00,7.59297,4.42533,1.203557932
1981-04-21 00:00:00,3.05775,4.00253,1.173856171
1981-04-22 00:00:00,7.66428,1.36456,0.98513834
1981-04-23 00:00:00,0,3.77808,1.163774158
1981-04-24 00:00:00,0,8.526,1.594766362
1981-04-25 00:00:00,0,11.57692,1.942165631
1981-04-26 00:00:00,0,12.13933,2.018022453
1981-04-27 00:00:00,0.92661,9.60217,1.724592329
1981-04-28 00:00:00,0.86011,4.66567,1.254089414
1981-04-29 00:00:00,0,7.30611,1.496452369
1981-04-30 00:00:00,0,11.1905,1.924496568
1981-05-01 00:00:00,0,12.78011,2.13194461
1981-05-02 00:00:00,0,14.11733,2.322343128
1981-05-03 00:00:00,0.03303,8.85758,1.673659858
1981-05-04 00:00:00,0,3.25575,1.161285065
1981-05-05 00:00:00,4.85719,7.25783,1.517729877
1981-05-06 00:00:00,2.98178,8.19803,1.617538538
1981-05-07 00:00:00,16.02386,1.98878,1.074660236
1981-05-08 00:00:00,4.32275,0.58314,0.978651019
1981-05-09 00:00:00,0.19081,0.94083,1.005669531
1981-05-10 00:00:00,0,4.36597,1.271312565
1981-05-11 00:00:00,9.60506,7.52367,1.568916382
1981-05-12 00:00:00,3.05342,2.1555,1.101066039
1981-05-13 00:00:00,1.56533,1.033,1.022322108
1981-05-14 00:00:00,0,4.44736,1.290974785
1981-05-15 00:00:00,3.05619,9.632,1.814513324
1981-05-16 00:00:00,8.16869,2.83719,1.164204927
1981-05-17 00:00:00,9.48856,2.117,1.111266358
1981-05-18 00:00:00,0.01606,4.60486,1.316634224
1981-05-19 00:00:00,0,7.56189,1.602573899
1981-05-20 00:00:00,3.53453,9.24739,1.790276481
1981-05-21 00:00:00,14.81572,4.61117,1.325617428
1981-05-22 00:00:00,48.3615,3.84831,1.262340297
1981-05-23 00:00:00,4.25442,5.60103,1.421158735
1981-05-24 00:00:00,1.40306,8.16169,1.682968483
1981-05-25 00:00:00,0.12714,10.10178,1.909235547
1981-05-26 00:00:00,14.33806,11.11647,2.039516844
1981-05-27 00:00:00,10.10297,8.54147,1.734059966
1981-05-28 00:00:00,4.07892,9.98714,1.905346156
1981-05-29 00:00:00,0.96092,11.53822,2.105001438
1981-05-30 00:00:00,0,11.96358,2.165283258
1981-05-31 00:00:00,3.32111,13.07211,2.323572979
1981-06-01 00:00:00,0,9.30481,1.835504431
1981-06-02 00:00:00,0,11.00261,2.047351969
1981-06-03 00:00:00,19.40919,11.26778,2.084610418
1981-06-04 00:00:00,0.64675,8.32597,1.730547327
1981-06-05 00:00:00,0,10.88628,2.040113697
1981-06-06 00:00:00,0,14.58678,2.570780889
1981-06-07 00:00:00,0.59275,15.03833,2.645550542
1981-06-08 00:00:00,0.30531,14.85478,2.618705005
1981-06-09 00:00:00,2.80242,15.05228,2.652960603
1981-06-10 00:00:00,0,11.59853,2.144410209
1981-06-11 00:00:00,0,12.52064,2.273492069
1981-06-12 00:00:00,0,14.30778,2.540953706
1981-06-13 00:00:00,11.02536,10.99281,2.068793463
1981-06-14 00:00:00,2.63647,2.39375,1.179542331
1981-06-15 00:00:00,1.93194,1.62889,1.120311994
1981-06-16 00:00:00,0,5.74653,1.477408922
1981-06-17 00:00:00,0,12.05742,2.216200205
1981-06-18 00:00:00,0,9.80117,1.922695534
1981-06-19 00:00:00,0,11.91731,2.198108205
1981-06-20 00:00:00,0,14.35145,2.556422853
1981-06-21 00:00:00,0,14.74942,2.61978092
1981-06-22 00:00:00,0,14.32856,2.553200443
1981-06-23 00:00:00,0,17.11972,3.024173429
1981-06-24 00:00:00,0,15.61044,2.760608642
1981-06-25 00:00:00,0,17.50345,3.093600106
1981-06-26 00:00:00,0,20.43928,3.678711383
1981-06-27 00:00:00,0,21.22775,3.850264586
1981-06-28 00:00:00,0,16.89547,2.980056063
1981-06-29 00:00:00,0,14.40411,2.560637944
1981-06-30 00:00:00,0,16.22861,2.859879185
1981-07-01 00:00:00,2.43536,18.79803,3.332772815
1981-07-02 00:00:00,0.56675,16.54094,2.910612435
1981-07-03 00:00:00,2.60803,15.72858,2.769079146
1981-07-04 00:00:00,3.00419,16.66728,2.928348625
1981-07-05 00:00:00,0,19.02272,3.366992123
1981-07-06 00:00:00,0.99556,22.12092,4.030194481
1981-07-07 00:00:00,0,20.50725,3.666514933
1981-07-08 00:00:00,1.44708,13.637,2.425103835
1981-07-09 00:00:00,0,15.46231,2.708895946
1981-07-10 00:00:00,0,19.75114,3.495881881
1981-07-11 00:00:00,0.30589,19.94922,3.532295889
1981-07-12 00:00:00,0.46672,19.86397,3.51003863
1981-07-13 00:00:00,0,19.02078,3.335460835
1981-07-14 00:00:00,0,17.27222,3.001639696
1981-07-15 00:00:00,0,16.25422,2.819104588
1981-07-16 00:00:00,0.00253,17.41147,3.017494764
1981-07-17 00:00:00,0.113,18.85561,3.282854576
1981-07-18 00:00:00,0.0935,17.78036,3.074568137
1981-07-19 00:00:00,0,18.01475,3.112410877
1981-07-20 00:00:00,0,17.3497,2.985891187
1981-07-21 00:00:00,0,19.22394,3.331451638
1981-07-22 00:00:00,0,18.91497,3.26501818
1981-07-23 00:00:00,0,18.45053,3.170232673
1981-07-24 00:00:00,0,18.94036,3.256996668
1981-07-25 00:00:00,0.09847,17.81478,3.040195425
1981-07-26 00:00:00,3.35106,16.63014,2.825882798
1981-07-27 00:00:00,0.86036,13.812,2.375002414
1981-07-28 00:00:00,0,15.21408,2.58233633
1981-07-29 00:00:00,0,18.61058,3.15980273
1981-07-30 00:00:00,0,19.93036,3.407588122
1981-07-31 00:00:00,0,18.29328,3.086504617
1981-08-01 00:00:00,0,18.38803,3.096514582
1981-08-02 00:00:00,0,19.054,3.213220594
1981-08-03 00:00:00,0,18.10478,3.029913936
1981-08-04 00:00:00,0,18.50106,3.094288685
1981-08-05 00:00:00,0,18.29731,3.049277864
1981-08-06 00:00:00,0,18.76695,3.127249217
1981-08-07 00:00:00,0,19.27764,3.214519911
1981-08-08 00:00:00,0.46694,19.19936,3.191164199
1981-08-09 00:00:00,0,18.83611,3.114959062
1981-08-10 00:00:00,1.02914,17.46561,2.863222477
1981-08-11 00:00:00,1.18064,14.74869,2.422627964
1981-08-12 00:00:00,0,15.23958,2.489262692
1981-08-13 00:00:00,0,16.67822,2.708065007
1981-08-14 00:00:00,2.21197,16.63947,2.693952867
1981-08-15 00:00:00,0,17.43389,2.81725847
1981-08-16 00:00:00,0,17.03267,2.742210244
1981-08-17 00:00:00,0,18.01453,2.899307913
1981-08-18 00:00:00,0.51139,18.53031,2.980523732
1981-08-19 00:00:00,0,18.63172,2.989356536
1981-08-20 00:00:00,0.00792,17.85731,2.846100761
1981-08-21 00:00:00,1.23528,18.39736,2.92989455
1981-08-22 00:00:00,0,16.47336,2.603149615
1981-08-23 00:00:00,0,16.86053,2.656104839
1981-08-24 00:00:00,0.00681,18.33233,2.890992697
1981-08-25 00:00:00,0,19.22675,3.03832465
1981-08-26 00:00:00,0.00556,20.65953,3.293843592
1981-08-27 00:00:00,0,19.66853,3.098078173
1981-08-28 00:00:00,0.55528,19.16478,2.997626173
1981-08-29 00:00:00,0,19.36211,3.022621283
1981-08-30 00:00:00,0,17.7585,2.73930335
1981-08-31 00:00:00,0,15.30164,2.354332148
1981-09-01 00:00:00,0.65658,12.88475,2.022361512
1981-09-02 00:00:00,0,15.32033,2.340971494
1981-09-03 00:00:00,0,14.64097,2.238157883
1981-09-04 00:00:00,0,16.33772,2.472694286
1981-09-05 00:00:00,0.25192,16.97647,2.56066666
1981-09-06 00:00:00,2.22158,10.82836,1.747392875
1981-09-07 00:00:00,0.01628,11.56447,1.823821581
1981-09-08 00:00:00,0.00236,13.50361,2.050590703
1981-09-09 00:00:00,3.64697,14.40267,2.159506673
1981-09-10 00:00:00,0.02381,14.38831,2.149840502
1981-09-11 00:00:00,0.66083,13.6475,2.046631736
1981-09-12 00:00:00,0,15.27108,2.252552394
1981-09-13 00:00:00,0.02892,15.96639,2.341078749
1981-09-14 00:00:00,0,16.33225,2.384622614
1981-09-15 00:00:00,0,15.52478,2.262410025
